,Temp,Yield,Comp,Al,Cr,Mn,Fe,Co,Ni,Cu,Ta,Ti,V,Zr,Nb,Mo,Zn,W,Sn,Nd
0,25,1745,Al0.25NbTaTiZr,0.058823529,0,0,0,0,0,0,0.235294118,0.235294118,0,0.235294118,0.235294118,0,0,0,0,0
1,1000,366,Al0.25NbTaTiZr,0.058823529,0,0,0,0,0,0,0.235294118,0.235294118,0,0.235294118,0.235294118,0,0,0,0,0
2,2161,0,Al0.25NbTaTiZr,0.058823529,0,0,0,0,0,0,0.235294118,0.235294118,0,0.235294118,0.235294118,0,0,0,0,0
3,25,1835,Al0.2NbTaTiV,0.047619048,0,0,0,0,0,0,0.238095238,0.238095238,0.238095238,0,0.238095238,0,0,0,0,0
4,900,783,Al0.2NbTaTiV,0.047619048,0,0,0,0,0,0,0.238095238,0.238095238,0.238095238,0,0.238095238,0,0,0,0,0
5,1000,350,Al0.2NbTaTiV,0.047619048,0,0,0,0,0,0,0.238095238,0.238095238,0.238095238,0,0.238095238,0,0,0,0,0
6,1100,270,Al0.2NbTaTiV,0.047619048,0,0,0,0,0,0,0.238095238,0.238095238,0.238095238,0,0.238095238,0,0,0,0,0
7,1200,142,Al0.2NbTaTiV,0.047619048,0,0,0,0,0,0,0.238095238,0.238095238,0.238095238,0,0.238095238,0,0,0,0,0
8,2197.85,0,Al0.2NbTaTiV,0.047619048,0,0,0,0,0,0,0.238095238,0.238095238,0.238095238,0,0.238095238,0,0,0,0,0
9,25,1965,Al0.3NbTa0.8Ti1.4V0.2Zr1.3,0.06,0,0,0,0,0,0,0.16,0.28,0.04,0.26,0.2,0,0,0,0,0
10,800,678,Al0.3NbTa0.8Ti1.4V0.2Zr1.3,0.06,0,0,0,0,0,0,0.16,0.28,0.04,0.26,0.2,0,0,0,0,0
11,1000,166,Al0.3NbTa0.8Ti1.4V0.2Zr1.3,0.06,0,0,0,0,0,0,0.16,0.28,0.04,0.26,0.2,0,0,0,0,0
12,2043,0,Al0.3NbTa0.8Ti1.4V0.2Zr1.3,0.06,0,0,0,0,0,0,0.16,0.28,0.04,0.26,0.2,0,0,0,0,0
13,25,1965,Al0.3NbTaTi1.4Zr1.3,0.06,0,0,0,0,0,0,0.2,0.28,0,0.26,0.2,0,0,0,0,0
14,800,362,Al0.3NbTaTi1.4Zr1.3,0.06,0,0,0,0,0,0,0.2,0.28,0,0.26,0.2,0,0,0,0,0
15,1000,236,Al0.3NbTaTi1.4Zr1.3,0.06,0,0,0,0,0,0,0.2,0.28,0,0.26,0.2,0,0,0,0,0
16,2088,0,Al0.3NbTaTi1.4Zr1.3,0.06,0,0,0,0,0,0,0.2,0.28,0,0.26,0.2,0,0,0,0,0
17,23,1841,Al0.4Hf0.6NbTaTiZr,0.090909091,0,0,0,0,0,0,0.227272727,0.227272727,0,0.227272727,0.227272727,0,0,0,0,0
18,800,796,Al0.4Hf0.6NbTaTiZr,0.090909091,0,0,0,0,0,0,0.227272727,0.227272727,0,0.227272727,0.227272727,0,0,0,0,0
19,1000,298,Al0.4Hf0.6NbTaTiZr,0.090909091,0,0,0,0,0,0,0.227272727,0.227272727,0,0.227272727,0.227272727,0,0,0,0,0
20,1200,89,Al0.4Hf0.6NbTaTiZr,0.090909091,0,0,0,0,0,0,0.227272727,0.227272727,0,0.227272727,0.227272727,0,0,0,0,0
21,2124,0,Al0.4Hf0.6NbTaTiZr,0.090909091,0,0,0,0,0,0,0.227272727,0.227272727,0,0.227272727,0.227272727,0,0,0,0,0
22,25,1340,Al0.5CrNbTi2V0.5,0.1,0.2,0,0,0,0,0,0,0.4,0.1,0,0.2,0,0,0,0,0
