ID,Temp,Yield,Comp
0,25,1745,Al0.25NbTaTiZr
1,1000,366,Al0.25NbTaTiZr
2,2161,0,Al0.25NbTaTiZr
3,25,1835,Al0.2NbTaTiV
4,900,783,Al0.2NbTaTiV
5,1000,350,Al0.2NbTaTiV
6,1100,270,Al0.2NbTaTiV
7,1200,142,Al0.2NbTaTiV
8,2197.85,0,Al0.2NbTaTiV
9,25,1965,Al0.3NbTa0.8Ti1.4V0.2Zr1.3
10,800,678,Al0.3NbTa0.8Ti1.4V0.2Zr1.3
11,1000,166,Al0.3NbTa0.8Ti1.4V0.2Zr1.3
12,2043,0,Al0.3NbTa0.8Ti1.4V0.2Zr1.3
13,25,1965,Al0.3NbTaTi1.4Zr1.3
14,800,362,Al0.3NbTaTi1.4Zr1.3
15,1000,236,Al0.3NbTaTi1.4Zr1.3
16,2088,0,Al0.3NbTaTi1.4Zr1.3
17,23,1841,Al0.4Hf0.6NbTaTiZr
18,800,796,Al0.4Hf0.6NbTaTiZr
19,1000,298,Al0.4Hf0.6NbTaTiZr
20,1200,89,Al0.4Hf0.6NbTaTiZr
21,2124,0,Al0.4Hf0.6NbTaTiZr
22,25,1340,Al0.5CrNbTi2V0.5
23,600,930,Al0.5CrNbTi2V0.5
24,800,445,Al0.5CrNbTi2V0.5
25,1000,90,Al0.5CrNbTi2V0.5
26,1801,0,Al0.5CrNbTi2V0.5
27,25,2350,Al0.5Mo0.5NbTa0.5TiZr
28,1000,579,Al0.5Mo0.5NbTa0.5TiZr
29,2033,0,Al0.5Mo0.5NbTa0.5TiZr
30,25,2035,Al0.5NbTa0.8Ti1.5V0.2Zr
31,800,796,Al0.5NbTa0.8Ti1.5V0.2Zr
32,1000,220,Al0.5NbTa0.8Ti1.5V0.2Zr
33,1992,0,Al0.5NbTa0.8Ti1.5V0.2Zr
34,-196,964,Al0.6CoCrFeNi
35,25,786,Al0.6CoCrFeNi
36,900,120,Al0.6CoCrFeNi
37,1000,90,Al0.6CoCrFeNi
38,1100,50,Al0.6CoCrFeNi
39,1200,30,Al0.6CoCrFeNi
40,1476.35,0,Al0.6CoCrFeNi
41,25,900,Al10Mo10Nb20Ti40V20
42,800,520,Al10Mo10Nb20Ti40V20
43,1000,155,Al10Mo10Nb20Ti40V20
44,1872.93,0,Al10Mo10Nb20Ti40V20
45,22,1750,Al15Cr20Nb15Ti40Zr10
46,600,1290,Al15Cr20Nb15Ti40Zr10
47,700,625,Al15Cr20Nb15Ti40Zr10
48,800,300,Al15Cr20Nb15Ti40Zr10
49,1000,60,Al15Cr20Nb15Ti40Zr10
50,1704.7,0,Al15Cr20Nb15Ti40Zr10
51,25,971,Al15Mo10Nb20Ti35V20
52,800,550,Al15Mo10Nb20Ti35V20
53,1000,160,Al15Mo10Nb20Ti35V20
54,1822.55,0,Al15Mo10Nb20Ti35V20
55,25,1187,Al20Mo10Nb20Ti30V20
56,800,624,Al20Mo10Nb20Ti30V20
57,1000,180,Al20Mo10Nb20Ti30V20
58,1772.16,0,Al20Mo10Nb20Ti30V20
59,700,1105,Al23Cr20Nb15Ti32Zr10
60,800,560,Al23Cr20Nb15Ti32Zr10
61,1000,130,Al23Cr20Nb15Ti32Zr10
62,1624.08,0,Al23Cr20Nb15Ti32Zr10
63,800,810,Al28Cr20Nb15Ti27Zr10
64,1000,155,Al28Cr20Nb15Ti27Zr10
65,1573.7,0,Al28Cr20Nb15Ti27Zr10
66,25,1300,AlCr0.5NbTiV
67,600,1005,AlCr0.5NbTiV
68,800,640,AlCr0.5NbTiV
69,1000,40,AlCr0.5NbTiV
70,1704,0,AlCr0.5NbTiV
71,25,1700,AlCr1.5NbTiV
72,600,1370,AlCr1.5NbTiV
73,800,970,AlCr1.5NbTiV
74,1000,75,AlCr1.5NbTiV
75,1741,0,AlCr1.5NbTiV
76,25,1010,AlCrMoNbTi
77,400,1080,AlCrMoNbTi
78,600,1060,AlCrMoNbTi
79,800,860,AlCrMoNbTi
80,1000,594,AlCrMoNbTi
81,1200,105,AlCrMoNbTi
82,1867,0,AlCrMoNbTi
83,600,930,AlCrMoNbTiB
84,800,875,AlCrMoNbTiB
85,1000,550,AlCrMoNbTiB
86,1200,150,AlCrMoNbTiB
87,1867,0,AlCrMoNbTiB
88,600,930,AlCrMoNbTi
89,1867.1,0,AlCrMoNbTi
90,400,1070,AlCrMoTi
91,600,1020,AlCrMoTi
92,800,875,AlCrMoTi
93,1000,375,AlCrMoTi
94,1200,100,AlCrMoTi
95,1715,0,AlCrMoTi
96,25,1550,AlCrNbTiV
97,600,1015,AlCrNbTiV
98,800,860,AlCrNbTiV
99,1000,65,AlCrNbTiV
100,1725,0,AlCrNbTiV
101,25,2197,AlMo0.5NbTa0.5TiZr
102,25,2000,AlMo0.5NbTa0.5TiZr
103,600,1870,AlMo0.5NbTa0.5TiZr
104,800,1597,AlMo0.5NbTa0.5TiZr
105,1000,745,AlMo0.5NbTa0.5TiZr
106,1200,250,AlMo0.5NbTa0.5TiZr
107,1896,0,AlMo0.5NbTa0.5TiZr
108,25,1320,AlMo0.5NbTa0.5TiZr0.5
109,1000,935,AlMo0.5NbTa0.5TiZr0.5
110,1901,0,AlMo0.5NbTa0.5TiZr0.5
111,600,520,AlMoNbTi
112,800,500,AlMoNbTi
113,1000,540,AlMoNbTi
114,1200,200,AlMoNbTi
115,1857,0,AlMoNbTi
116,23,1100,AlMoNbTi
117,1857.1,0,AlMoNbTi
