ID,Yield,Composition ,Temp ?,Comment,Type,Title
1,518,TiZrTa0.7NbMo,800,Arc+Annelaed at 1K C,Compress,Microstructure and mechanical properties of Alx (TiZrTa0. 7NbMo) refractory high-entropy alloys
2,522,Al0.1Ti0.191Zr0.191Ta0.134Nb0.191Mo0.191,800,Arc+Annelaed at 2K C,Compress,Microstructure and mechanical properties of Alx (TiZrTa0. 7NbMo) refractory high-entropy alloys
3,550,Al0.2Ti0.17Zr0.17Ta0.119Nb0.17Mo0.17,800,Arc+Annelaed at 3K C,Compress,Microstructure and mechanical properties of Alx (TiZrTa0. 7NbMo) refractory high-entropy alloys
4,563,Al0.3Ti0.1489Zr0.1489Ta0.1043Nb0.1489Mo0.1489,800,Arc+Annelaed at 4K C,Compress,Microstructure and mechanical properties of Alx (TiZrTa0. 7NbMo) refractory high-entropy alloys
5,571,Al0.4Ti0.1278Zr0.1278Ta0.08936Mo0.1277,800,Arc+Annelaed at 5K C,Compress,Microstructure and mechanical properties of Alx (TiZrTa0. 7NbMo) refractory high-entropy alloys
6,714,Al0.5Ti0.1064Zr0.1064Ta0.0745Nb0.1064Mo0.1064,800,Arc+Annelaed at 6K C,Compress,Microstructure and mechanical properties of Alx (TiZrTa0. 7NbMo) refractory high-entropy alloys
7,342,TiZrTa0.7NbMo,1000,Arc+Annelaed at 7K C,Compress,Microstructure and mechanical properties of Alx (TiZrTa0. 7NbMo) refractory high-entropy alloys
8,350,Al0.1Ti0.191Zr0.191Ta0.134Nb0.191Mo0.191,1000,Arc+Annelaed at 8K C,Compress,Microstructure and mechanical properties of Alx (TiZrTa0. 7NbMo) refractory high-entropy alloys
9,445,Al0.2Ti0.17Zr0.17Ta0.119Nb0.17Mo0.17,1000,Arc+Annelaed at 9K C,Compress,Microstructure and mechanical properties of Alx (TiZrTa0. 7NbMo) refractory high-entropy alloys
10,460,Al0.3Ti0.1489Zr0.1489Ta0.1043Nb0.1489Mo0.1489,1000,Arc+Annelaed at 10K C,Compress,Microstructure and mechanical properties of Alx (TiZrTa0. 7NbMo) refractory high-entropy alloys
11,473,Al0.4Ti0.1278Zr0.1278Ta0.08936Mo0.1277,1000,Arc+Annelaed at 11K C,Compress,Microstructure and mechanical properties of Alx (TiZrTa0. 7NbMo) refractory high-entropy alloys
12,495,Al0.5Ti0.1064Zr0.1064Ta0.0745Nb0.1064Mo0.1064,1000,Arc+Annelaed at 12K C,Compress,Microstructure and mechanical properties of Alx (TiZrTa0. 7NbMo) refractory high-entropy alloys
13,113,TiZrTa0.7NbMo,1200,Arc+Annelaed at 13K C,Compress,Microstructure and mechanical properties of Alx (TiZrTa0. 7NbMo) refractory high-entropy alloys
