ID,Temp,Yield,Comp,Al,Cr,Mn,Fe,Co,Ni,Cu,Ta,Ti,V,Zr,Nb,Mo,Zn,W,Sn,Nd,Hf,Si,VEC,ElectDiff,Atomic Size Diff,Mixing Enthalpy,Mixing Entropy,AVG Shear Modulus,AVG Bulk Modulus,AVG Possion Ratio,Itinerate Electron,Cohesive Energy,Gamma,Local Size Mismatch,Local Shear Modulus Mismatch,Local Electronegativity Mismatch,Avg Melting Pt
0,25,1745,Al0.25NbTaTiZr,0.058823529,0,0,0,0,0,0,0.235294118,0.235294118,0,0.235294118,0.235294118,0,0,0,0,0,0,0,4.647058829,0.101196988,4.409958965,-3.930795807,12.70766391,72.58823539,139.5294119,0.358235294,4.882352947,5.340588242,1.130007109,-0.012501038,0.359861616,0.001522491,2513.914709
1,1000,366,Al0.25NbTaTiZr,0.058823529,0,0,0,0,0,0,0.235294118,0.235294118,0,0.235294118,0.235294118,0,0,0,0,0,0,0,4.647058829,0.101196988,4.409958965,-3.930795807,12.70766391,72.58823539,139.5294119,0.358235294,4.882352947,5.340588242,1.130007109,-0.012501038,0.359861616,0.001522491,2513.914709
2,2161,0,Al0.25NbTaTiZr,0.058823529,0,0,0,0,0,0,0.235294118,0.235294118,0,0.235294118,0.235294118,0,0,0,0,0,0,0,4.647058829,0.101196988,4.409958965,-3.930795807,12.70766391,72.58823539,139.5294119,0.358235294,4.882352947,5.340588242,1.130007109,-0.012501038,0.359861616,0.001522491,2513.914709
3,25,1835,Al0.2NbTaTiV,0.047619048,0,0,0,0,0,0,0.238095238,0.238095238,0.238095238,0,0.238095238,0,0,0,0,0,0,0,4.904761904,0.050282648,3.375797416,-3.990929734,12.56847688,74.09523808,156,0.365714286,5.142857142,5.689999999,1.096049177,0.005519274,0.657596352,-0.020181406,2542.578571
4,900,783,Al0.2NbTaTiV,0.047619048,0,0,0,0,0,0,0.238095238,0.238095238,0.238095238,0,0.238095238,0,0,0,0,0,0,0,4.904761904,0.050282648,3.375797416,-3.990929734,12.56847688,74.09523808,156,0.365714286,5.142857142,5.689999999,1.096049177,0.005519274,0.657596352,-0.020181406,2542.578571
5,1000,350,Al0.2NbTaTiV,0.047619048,0,0,0,0,0,0,0.238095238,0.238095238,0.238095238,0,0.238095238,0,0,0,0,0,0,0,4.904761904,0.050282648,3.375797416,-3.990929734,12.56847688,74.09523808,156,0.365714286,5.142857142,5.689999999,1.096049177,0.005519274,0.657596352,-0.020181406,2542.578571
6,1100,270,Al0.2NbTaTiV,0.047619048,0,0,0,0,0,0,0.238095238,0.238095238,0.238095238,0,0.238095238,0,0,0,0,0,0,0,4.904761904,0.050282648,3.375797416,-3.990929734,12.56847688,74.09523808,156,0.365714286,5.142857142,5.689999999,1.096049177,0.005519274,0.657596352,-0.020181406,2542.578571
7,1200,142,Al0.2NbTaTiV,0.047619048,0,0,0,0,0,0,0.238095238,0.238095238,0.238095238,0,0.238095238,0,0,0,0,0,0,0,4.904761904,0.050282648,3.375797416,-3.990929734,12.56847688,74.09523808,156,0.365714286,5.142857142,5.689999999,1.096049177,0.005519274,0.657596352,-0.020181406,2542.578571
8,2197.85,0,Al0.2NbTaTiV,0.047619048,0,0,0,0,0,0,0.238095238,0.238095238,0.238095238,0,0.238095238,0,0,0,0,0,0,0,4.904761904,0.050282648,3.375797416,-3.990929734,12.56847688,74.09523808,156,0.365714286,5.142857142,5.689999999,1.096049177,0.005519274,0.657596352,-0.020181406,2542.578571
9,25,1965,Al0.3NbTa0.8Ti1.4V0.2Zr1.3,0.06,0,0,0,0,0,0,0.16,0.28,0.04,0.26,0.2,0,0,0,0,0,0,0,4.54,0.106595309,5.010284875,-4.864,13.46310821,64.14,132.2,0.3582,4.7,5.2528,1.211212441,-0.01613212,-1.0364,0.00816,2376.67
10,800,678,Al0.3NbTa0.8Ti1.4V0.2Zr1.3,0.06,0,0,0,0,0,0,0.16,0.28,0.04,0.26,0.2,0,0,0,0,0,0,0,4.54,0.106595309,5.010284875,-4.864,13.46310821,64.14,132.2,0.3582,4.7,5.2528,1.211212441,-0.01613212,-1.0364,0.00816,2376.67
11,1000,166,Al0.3NbTa0.8Ti1.4V0.2Zr1.3,0.06,0,0,0,0,0,0,0.16,0.28,0.04,0.26,0.2,0,0,0,0,0,0,0,4.54,0.106595309,5.010284875,-4.864,13.46310821,64.14,132.2,0.3582,4.7,5.2528,1.211212441,-0.01613212,-1.0364,0.00816,2376.67
12,2043,0,Al0.3NbTa0.8Ti1.4V0.2Zr1.3,0.06,0,0,0,0,0,0,0.16,0.28,0.04,0.26,0.2,0,0,0,0,0,0,0,4.54,0.106595309,5.010284875,-4.864,13.46310821,64.14,132.2,0.3582,4.7,5.2528,1.211212441,-0.01613212,-1.0364,0.00816,2376.67
13,25,1965,Al0.3NbTaTi1.4Zr1.3,0.06,0,0,0,0,0,0,0.2,0.28,0,0.26,0.2,0,0,0,0,0,0,0,4.54,0.103184495,4.614647296,-4.4096,12.63103906,67.46,133.8,0.357,4.74,5.2296,1.130007109,-0.01565212,0.5332,0.007472,2431.87
14,800,362,Al0.3NbTaTi1.4Zr1.3,0.06,0,0,0,0,0,0,0.2,0.28,0,0.26,0.2,0,0,0,0,0,0,0,4.54,0.103184495,4.614647296,-4.4096,12.63103906,67.46,133.8,0.357,4.74,5.2296,1.130007109,-0.01565212,0.5332,0.007472,2431.87
15,1000,236,Al0.3NbTaTi1.4Zr1.3,0.06,0,0,0,0,0,0,0.2,0.28,0,0.26,0.2,0,0,0,0,0,0,0,4.54,0.103184495,4.614647296,-4.4096,12.63103906,67.46,133.8,0.357,4.74,5.2296,1.130007109,-0.01565212,0.5332,0.007472,2431.87
16,2088,0,Al0.3NbTaTi1.4Zr1.3,0.06,0,0,0,0,0,0,0.2,0.28,0,0.26,0.2,0,0,0,0,0,0,0,4.54,0.103184495,4.614647296,-4.4096,12.63103906,67.46,133.8,0.357,4.74,5.2296,1.130007109,-0.01565212,0.5332,0.007472,2431.87
