,Unnamed: 0,Yield,Comp,Al,Cr,Mn,Fe,Co,Ni,Cu,Ta,Ti,V,Zr,Nb,Mo,Zn,W,Sn,Nd,Hf,Si,Temp,Temp (K),VEC,ElectDiff,Atomic Size Diff,Mixing Enthalpy,Mixing Entropy,AVG Shear Modulus,AVG Bulk Modulus,AVG Possion Ratio,Itinerate Electron,Cohesive Energy,Local Size Mismatch,Local Shear Modulus Mismatch,Local Electronegativity Mismatch,Avg Melting Pt,Alloy,Tbreak [oC],Tbreak(K),Solvus Temp. [oC],Diff_Melt_Tbreak,Tbreak (K),YS at Tbreak,Diff,Assigned Point,Criteria Satisfied,Temp Range,Tbreak_fixed,YS_at_Tbreak,Tbreak Final,Yield At Tbreak Final
0,0,1600,HfMoTaTiZr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.2,0,0.0,0,0,0.2,0,25.0,298.15,4.6,0.311229819,6.209384292,-1.92,13.3808668,65.2,148.8,0.344,4.4,5.65,-0.01544,7.2,-0.0176,2606.92,HfMoTaTiZr,971.6,1244.75,"2,279",1635.32,1339.984597,848.3585492,7.65%,8975.2115398,3,5,,,1339.984597,848.3585492
1,1,1045,HfMoTaTiZr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.2,0,0.0,0,0,0.2,0,800.0,1073.15,4.6,0.311229819,6.209384292,-1.92,13.3808668,65.2,148.8,0.344,4.4,5.65,-0.01544,7.2,-0.0176,2606.92,HfMoTaTiZr,971.6,1244.75,"2,279",1635.32,1339.984597,848.3585492,7.65%,8975.2115398,3,5,,,1339.984597,848.3585492
2,2,855,HfMoTaTiZr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.2,0,0.0,0,0,0.2,0,1000.0,1273.15,4.6,0.311229819,6.209384292,-1.92,13.3808668,65.2,148.8,0.344,4.4,5.65,-0.01544,7.2,-0.0176,2606.92,HfMoTaTiZr,971.6,1244.75,"2,279",1635.32,1339.984597,848.3585492,7.65%,8975.2115398,3,5,,,1339.984597,848.3585492
3,3,404,HfMoTaTiZr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.2,0,0.0,0,0,0.2,0,1200.0,1473.15,4.6,0.311229819,6.209384292,-1.92,13.3808668,65.2,148.8,0.344,4.4,5.65,-0.01544,7.2,-0.0176,2606.92,HfMoTaTiZr,971.6,1244.75,"2,279",1635.32,1339.984597,848.3585492,7.65%,8975.2115398,3,5,,,1339.984597,848.3585492
4,4,0,HfMoTaTiZr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.2,0,0.0,0,0,0.2,0,2279.2,2552.35,4.6,0.311229819,6.209384292,-1.92,13.3808668,65.2,148.8,0.344,4.4,5.65,-0.01544,7.2,-0.0176,2606.92,HfMoTaTiZr,971.6,1244.75,"2,279",1635.32,1339.984597,848.3585492,7.65%,8975.2115398,3,5,,,1339.984597,848.3585492
5,5,2197,AlMo0.5NbTa0.5TiZr,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.2,0.2,0.1,0,0.0,0,0,0.0,0,25.0,298.15,3.9,0.355724613,23.12632853,-0.2,11.85725858,54.8,117.8,0.285,4.0,4.541,0.00439,-0.96,-0.051,2009.82,AlMo0.5NbTa0.5TiZr,789.8,1062.95,"1,896",1220.02,1195.267999,1603.133785,12.45%,10814.070709,3,4,,,1195.267999,1603.133785
6,6,2000,AlMo0.5NbTa0.5TiZr,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.2,0.2,0.1,0,0.0,0,0,0.0,0,25.0,298.15,3.9,0.355724613,23.12632853,-0.2,11.85725858,54.8,117.8,0.285,4.0,4.541,0.00439,-0.96,-0.051,2009.82,AlMo0.5NbTa0.5TiZr,789.8,1062.95,"1,896",1220.02,1195.267999,1603.133785,12.45%,10814.070709,3,4,,,1195.267999,1603.133785
7,7,1870,AlMo0.5NbTa0.5TiZr,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.2,0.2,0.1,0,0.0,0,0,0.0,0,600.0,873.15,3.9,0.355724613,23.12632853,-0.2,11.85725858,54.8,117.8,0.285,4.0,4.541,0.00439,-0.96,-0.051,2009.82,AlMo0.5NbTa0.5TiZr,789.8,1062.95,"1,896",1220.02,1195.267999,1603.133785,12.45%,10814.070709,3,4,,,1195.267999,1603.133785
8,8,1597,AlMo0.5NbTa0.5TiZr,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.2,0.2,0.1,0,0.0,0,0,0.0,0,800.0,1073.15,3.9,0.355724613,23.12632853,-0.2,11.85725858,54.8,117.8,0.285,4.0,4.541,0.00439,-0.96,-0.051,2009.82,AlMo0.5NbTa0.5TiZr,789.8,1062.95,"1,896",1220.02,1195.267999,1603.133785,12.45%,10814.070709,3,4,,,1195.267999,1603.133785
9,9,745,AlMo0.5NbTa0.5TiZr,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.2,0.2,0.1,0,0.0,0,0,0.0,0,1000.0,1273.15,3.9,0.355724613,23.12632853,-0.2,11.85725858,54.8,117.8,0.285,4.0,4.541,0.00439,-0.96,-0.051,2009.82,AlMo0.5NbTa0.5TiZr,789.8,1062.95,"1,896",1220.02,1195.267999,1603.133785,12.45%,10814.070709,3,4,,,1195.267999,1603.133785
10,10,250,AlMo0.5NbTa0.5TiZr,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.2,0.2,0.1,0,0.0,0,0,0.0,0,1200.0,1473.15,3.9,0.355724613,23.12632853,-0.2,11.85725858,54.8,117.8,0.285,4.0,4.541,0.00439,-0.96,-0.051,2009.82,AlMo0.5NbTa0.5TiZr,789.8,1062.95,"1,896",1220.02,1195.267999,1603.133785,12.45%,10814.070709,3,4,,,1195.267999,1603.133785
11,11,0,AlMo0.5NbTa0.5TiZr,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.2,0.2,0.1,0,0.0,0,0,0.0,0,1896.0,2169.15,3.9,0.355724613,23.12632853,-0.2,11.85725858,54.8,117.8,0.285,4.0,4.541,0.00439,-0.96,-0.051,2009.82,AlMo0.5NbTa0.5TiZr,789.8,1062.95,"1,896",1220.02,1195.267999,1603.133785,12.45%,10814.070709,3,4,,,1195.267999,1603.133785
12,12,1637,HfMoNbTaTiWZr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142857143,0.142857143,0.0,0.142857143,0.142857143,0.142857143,0,0.142857143,0,0,0.142857143,0,25.0,298.15,5.000000005,0.381345631,6.001545014,-3.591836742,16.17829699,84.42857151,174.857143,0.342857143,5.000000005,6.178571435,-0.001428571,-4.000000008,-0.076326531,2782.84286,HfMoNbTaTiWZr,652.0,925.15,"2,471",2130.84286,1611.214287,632.7070385,74.16%,2214.65774365,2,3,925.15,859.6718291,925.15,859.6718291
13,13,1065,HfMoNbTaTiWZr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142857143,0.142857143,0.0,0.142857143,0.142857143,0.142857143,0,0.142857143,0,0,0.142857143,0,800.0,1073.15,5.000000005,0.381345631,6.001545014,-3.591836742,16.17829699,84.42857151,174.857143,0.342857143,5.000000005,6.178571435,-0.001428571,-4.000000008,-0.076326531,2782.84286,HfMoNbTaTiWZr,652.0,925.15,"2,471",2130.84286,1611.214287,632.7070385,74.16%,2214.65774365,2,3,925.15,859.6718291,925.15,859.6718291
14,14,736,HfMoNbTaTiWZr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142857143,0.142857143,0.0,0.142857143,0.142857143,0.142857143,0,0.142857143,0,0,0.142857143,0,1000.0,1273.15,5.000000005,0.381345631,6.001545014,-3.591836742,16.17829699,84.42857151,174.857143,0.342857143,5.000000005,6.178571435,-0.001428571,-4.000000008,-0.076326531,2782.84286,HfMoNbTaTiWZr,652.0,925.15,"2,471",2130.84286,1611.214287,632.7070385,74.16%,2214.65774365,2,3,925.15,859.6718291,925.15,859.6718291
15,15,703,HfMoNbTaTiWZr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142857143,0.142857143,0.0,0.142857143,0.142857143,0.142857143,0,0.142857143,0,0,0.142857143,0,1200.0,1473.15,5.000000005,0.381345631,6.001545014,-3.591836742,16.17829699,84.42857151,174.857143,0.342857143,5.000000005,6.178571435,-0.001428571,-4.000000008,-0.076326531,2782.84286,HfMoNbTaTiWZr,652.0,925.15,"2,471",2130.84286,1611.214287,632.7070385,74.16%,2214.65774365,2,3,925.15,859.6718291,925.15,859.6718291
