,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Yield,Comp,Al,Cr,Mn,Fe,Co,Ni,Cu,Ta,Ti,V,Zr,Nb,Mo,Zn,W,Sn,Nd,Hf,Si,Temp,Temp (K),VEC,ElectDiff,Atomic Size Diff,Mixing Enthalpy,Mixing Entropy,AVG Shear Modulus,AVG Bulk Modulus,AVG Possion Ratio,Itinerate Electron,Cohesive Energy,Local Size Mismatch,Local Shear Modulus Mismatch,Local Electronegativity Mismatch,Avg Melting Pt,Alloy,Tbreak [oC],Tbreak(K),Solvus Temp. [oC],Diff_Melt_Tbreak,Tbreak (K),YS at Tbreak,Diff,Assigned Point,Criteria Satisfied,Temp Range
0,0,0,0,205,205,1600,HfMoTaTiZr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.2,0,0.0,0,0,0.2,0,25.0,298.15,4.6,0.311229819,6.209384292,-1.92,13.3808668,65.2,148.8,0.344,4.4,5.65,-0.01544,7.2,-0.0176,2606.92,HfMoTaTiZr,971.6,1244.75,"2,279",1635.32,1339.984597,848.3585492,7.65%,8975.2115398,3,5
1,1,1,1,206,206,1045,HfMoTaTiZr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.2,0,0.0,0,0,0.2,0,800.0,1073.15,4.6,0.311229819,6.209384292,-1.92,13.3808668,65.2,148.8,0.344,4.4,5.65,-0.01544,7.2,-0.0176,2606.92,HfMoTaTiZr,971.6,1244.75,"2,279",1635.32,1339.984597,848.3585492,7.65%,8975.2115398,3,5
2,2,2,2,207,207,855,HfMoTaTiZr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.2,0,0.0,0,0,0.2,0,1000.0,1273.15,4.6,0.311229819,6.209384292,-1.92,13.3808668,65.2,148.8,0.344,4.4,5.65,-0.01544,7.2,-0.0176,2606.92,HfMoTaTiZr,971.6,1244.75,"2,279",1635.32,1339.984597,848.3585492,7.65%,8975.2115398,3,5
3,3,3,3,208,208,404,HfMoTaTiZr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.2,0,0.0,0,0,0.2,0,1200.0,1473.15,4.6,0.311229819,6.209384292,-1.92,13.3808668,65.2,148.8,0.344,4.4,5.65,-0.01544,7.2,-0.0176,2606.92,HfMoTaTiZr,971.6,1244.75,"2,279",1635.32,1339.984597,848.3585492,7.65%,8975.2115398,3,5
4,4,4,4,209,209,0,HfMoTaTiZr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.2,0,0.0,0,0,0.2,0,2279.2,2552.35,4.6,0.311229819,6.209384292,-1.92,13.3808668,65.2,148.8,0.344,4.4,5.65,-0.01544,7.2,-0.0176,2606.92,HfMoTaTiZr,971.6,1244.75,"2,279",1635.32,1339.984597,848.3585492,7.65%,8975.2115398,3,5
5,5,5,5,107,107,2197,AlMo0.5NbTa0.5TiZr,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.2,0.2,0.1,0,0.0,0,0,0.0,0,25.0,298.15,3.9,0.355724613,23.12632853,-0.2,11.85725858,54.8,117.8,0.285,4.0,4.541,0.00439,-0.96,-0.051,2009.82,AlMo0.5NbTa0.5TiZr,789.8,1062.95,"1,896",1220.02,1195.267999,1603.133785,12.45%,10814.070709,3,4
6,6,6,6,108,108,2000,AlMo0.5NbTa0.5TiZr,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.2,0.2,0.1,0,0.0,0,0,0.0,0,25.0,298.15,3.9,0.355724613,23.12632853,-0.2,11.85725858,54.8,117.8,0.285,4.0,4.541,0.00439,-0.96,-0.051,2009.82,AlMo0.5NbTa0.5TiZr,789.8,1062.95,"1,896",1220.02,1195.267999,1603.133785,12.45%,10814.070709,3,4
7,7,7,7,109,109,1870,AlMo0.5NbTa0.5TiZr,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.2,0.2,0.1,0,0.0,0,0,0.0,0,600.0,873.15,3.9,0.355724613,23.12632853,-0.2,11.85725858,54.8,117.8,0.285,4.0,4.541,0.00439,-0.96,-0.051,2009.82,AlMo0.5NbTa0.5TiZr,789.8,1062.95,"1,896",1220.02,1195.267999,1603.133785,12.45%,10814.070709,3,4
8,8,8,8,110,110,1597,AlMo0.5NbTa0.5TiZr,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.2,0.2,0.1,0,0.0,0,0,0.0,0,800.0,1073.15,3.9,0.355724613,23.12632853,-0.2,11.85725858,54.8,117.8,0.285,4.0,4.541,0.00439,-0.96,-0.051,2009.82,AlMo0.5NbTa0.5TiZr,789.8,1062.95,"1,896",1220.02,1195.267999,1603.133785,12.45%,10814.070709,3,4
9,9,9,9,111,111,745,AlMo0.5NbTa0.5TiZr,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.2,0.2,0.1,0,0.0,0,0,0.0,0,1000.0,1273.15,3.9,0.355724613,23.12632853,-0.2,11.85725858,54.8,117.8,0.285,4.0,4.541,0.00439,-0.96,-0.051,2009.82,AlMo0.5NbTa0.5TiZr,789.8,1062.95,"1,896",1220.02,1195.267999,1603.133785,12.45%,10814.070709,3,4
