,VEC,ElectDiff,Atomic Size Diff,Mixing Enthalpy,Mixing Entropy,AVG Shear Modulus,AVG Bulk Modulus,AVG Possion Ratio,Itinerate Electron,Cohesive Energy,Local Size Mismatch,Local Shear Modulus Mismatch,Local Electronegativity Mismatch,Avg Melting Pt,Assigned Point
0,4.6,0.311229819,6.209384292,-1.92,13.3808668,65.2,148.8,0.344,4.4,5.65,-0.01544,7.2,-0.0176,2606.92,6698.1328116
1,4.6,0.311229819,6.209384292,-1.92,13.3808668,65.2,148.8,0.344,4.4,5.65,-0.01544,7.2,-0.0176,2606.92,6698.1328116
2,4.6,0.311229819,6.209384292,-1.92,13.3808668,65.2,148.8,0.344,4.4,5.65,-0.01544,7.2,-0.0176,2606.92,6698.1328116
3,4.6,0.311229819,6.209384292,-1.92,13.3808668,65.2,148.8,0.344,4.4,5.65,-0.01544,7.2,-0.0176,2606.92,6698.1328116
4,4.6,0.311229819,6.209384292,-1.92,13.3808668,65.2,148.8,0.344,4.4,5.65,-0.01544,7.2,-0.0176,2606.92,6698.1328116
5,3.9,0.355724613,23.12632853,-0.2,11.85725858,54.8,117.8,0.285,4.0,4.541,0.00439,-0.96,-0.051,2009.82,8469.13343145
6,3.9,0.355724613,23.12632853,-0.2,11.85725858,54.8,117.8,0.285,4.0,4.541,0.00439,-0.96,-0.051,2009.82,8469.13343145
7,3.9,0.355724613,23.12632853,-0.2,11.85725858,54.8,117.8,0.285,4.0,4.541,0.00439,-0.96,-0.051,2009.82,8469.13343145
8,3.9,0.355724613,23.12632853,-0.2,11.85725858,54.8,117.8,0.285,4.0,4.541,0.00439,-0.96,-0.051,2009.82,8469.13343145
9,3.9,0.355724613,23.12632853,-0.2,11.85725858,54.8,117.8,0.285,4.0,4.541,0.00439,-0.96,-0.051,2009.82,8469.13343145
10,3.9,0.355724613,23.12632853,-0.2,11.85725858,54.8,117.8,0.285,4.0,4.541,0.00439,-0.96,-0.051,2009.82,8469.13343145
11,3.9,0.355724613,23.12632853,-0.2,11.85725858,54.8,117.8,0.285,4.0,4.541,0.00439,-0.96,-0.051,2009.82,8469.13343145
12,5.000000005,0.381345631,6.001545014,-3.591836742,16.17829699,84.42857151,174.857143,0.342857143,5.000000005,6.178571435,-0.001428571,-4.000000008,-0.076326531,2782.84286,5729.6993754
13,5.000000005,0.381345631,6.001545014,-3.591836742,16.17829699,84.42857151,174.857143,0.342857143,5.000000005,6.178571435,-0.001428571,-4.000000008,-0.076326531,2782.84286,5729.6993754
14,5.000000005,0.381345631,6.001545014,-3.591836742,16.17829699,84.42857151,174.857143,0.342857143,5.000000005,6.178571435,-0.001428571,-4.000000008,-0.076326531,2782.84286,5729.6993754
15,5.000000005,0.381345631,6.001545014,-3.591836742,16.17829699,84.42857151,174.857143,0.342857143,5.000000005,6.178571435,-0.001428571,-4.000000008,-0.076326531,2782.84286,5729.6993754
16,5.000000005,0.381345631,6.001545014,-3.591836742,16.17829699,84.42857151,174.857143,0.342857143,5.000000005,6.178571435,-0.001428571,-4.000000008,-0.076326531,2782.84286,5729.6993754
